cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10
NFKBIZ,STAR,ARSB,HSPBAP1,ITPRID2,RCOR3,OR2M3,ADGRF3,CCT4,FSTL1
CD200R1,FGFR1,SERINC5,RAB7A,ORMDL1,NSL1,ALKAL2,ZNF512,TMEM17,STXBP5L
ARHGAP31,PLAG1,ZFYVE16,COPG1,STAT1,FLVCR1-DT,TRAPPC12-AS1,GPN1,EHBP1,POLQ
PLA1A,CA3-AS1,TMEM167A,EFCAB12,NABP1,ANGEL2,CMPK2,TRMT61B,ETAA1,EAF2
HGD,CA2,ARRDC3,NUDT16,COQ10B,RPS6KC1,RSAD2,LBH,WDR92,CCDC14
CD86,NDUFB9,GLRX,DNAJC13,CLK1,LYPLAL1,ITGB1BP1,CAPN14,PNO1,MCM2
CSTA,PVT1,ELL2,IL20RB,CFLAR-AS1,RAB3GAP2,IAH1,EHD3,GMCL1,RUVBL1
ITGB5,CCDC26,ST8SIA4,ZBTB38,CASP10,HLX-AS1,LPIN1,CRIM1-DT,SNRPG,GP9
HEG1,MAPK15,TMED7,GK5,MPP4,MIA3,MIR3681HG,HEATR5B,FAM136A,H1FX-AS1
SLC12A8,FAM83H,SEC24A,PLSCR1,BMPR2,TP53BP2,TRIB2,GPATCH11,CCT7,IFT122
OSBPL11,VLDLR-AS1,GNPDA1,GYG1,CREB1,TMEM63A,UBXN2A,EIF2AK2,TPRKB,TOPBP1
ACPP,VLDLR,PPARGC1B,RNF13,UNC80,SDE2,ATRAID,CEBPZOS,WDR54,NMNAT3
MRAS,CDKN2A,PDE6A,SELENOT,ARPC2,H3F3A,UCN,PRKD3,GCFC2,CPA3
CHST2,PTENP1-AS,CSF1R,MBNL1,CATIP-AS1,ACBD3,GTF3C2-AS1,SRSF7,DNAH6,CP
SLC9A9,C9orf24,NDST1,CCNL1,CNPPD1,ITPKB,KRTCAP3,MAP4K3,SH2D6,GMPS
P2RY13,CA9,CCDC69,MFSD1,CUL3,ITPKB-AS1,SUPT7L,HAAO,POLR1A,IL12A
PTX3,SHB,SH3PXD2B,PPM1L,TRIP12,TRIM11,BABAM2,THADA,RPIA,ACTRT3
EIF5A2,ANKRD18A,DUSP1,FAM131A,SP110,COG2,TOGARAM2,SLC3A1,ANKRD23,TMEM212
NCEH1,FAM201A,CPEB4,VPS8,SP140,GNPAT,GEMIN6,SRBD1,ANKRD39,ECT2
EPHB3,PSAT1,RAB24,LPP-AS2,SP100,SPRTN,MAP4K3-DT,MCFD2,FAHD2B,USP13
BCL6,TLE1,MGAT1,LPP,HDAC4-AS1,TSNAX,MTA3,EPCAM-DT,ANKRD36B,MAP6D1
MB21D2,SLC28A3,GCNT2,ATP13A3,CAPN10-DT,ARID4B,PREPL,SPTBN1,EIF5B,EEF1AKMT4
SLC49A3,GOLM1,MAK,FAM43A,CAPN10,GGPS1,PIGF,CLHC1,CHST10,RFC4
C4orf48,GAS1,NEDD9,ACAP2,SEPTIN2,TBCE-1,CRIPT,MTIF2,RPL31,NCBP2-AS1
CFAP99,GAS1RR,EDN1,PCYT1A,ATG4B,OPN3,SOCS5,BCL11A,IL1RL1,MELTF
WFS1,CDK20,MYLIP,RUBCN,EDEM1,CEP170,ASB3,XPO1,TMEM182,MELTF-AS1
S100P,ROR2,RNF144B,GAK,GRM7-AS1,SDCCAG8,ERLEC1,WDPCP,TGFBRAP1,BDH1
CCDC96,ZNF367,ARMH2,TMEM175,TADA3,ADSS,GPR75,MDH1,UXS1,FGFR3
TADA2B,CDC14B,RIPOR2,DGKQ,TTLL3,DESI2,EML6,UGP2,RGPD3,NSD2
SLC2A9,CTSV,NKAPL,UVSSA,EMC3,ZNF124,PUS10,SERTAD2,SULT1C4,NAT8L
CPEB2,TDRD7,HLA-F,ZFYVE28,BRK1,ZNF672,PEX13,CEP68,CCDC138,MFSD10
CC2D2A,GALNT12,TRIM26,MAN2B2,VHL,PGBD2,C2orf74,APLF,RGPD5,HTRA3
BST1,COL15A1,FLOT1,KIAA0232,TATDN2,TRAPPC12,COMMD1,NFU1,NPHP1,CD38
PPARGC1A,SLC44A1,IER3-AS1,SH3TC1,GHRLOS,ADI1,B3GNT2,TIA1,ANAPC1,NCAPG
FAM114A1,TAL2,HLA-B,LCORL,HDAC11,TAF1B,MEIS1-AS2,MPHOSPH10,ZC3H8,ADGRA3
RBM47,ZNF883,MICB,CCDC149,FGD5-AS1,ROCK2,CNRIP1,PAIP2B,POLR1B,PAICS
DCAF4L1,COL27A1,LST1,TBC1D1,RBSN,TTC32,BMP10,FBXO41,DPP10-AS1,IGFBP7
SGCB,DAB2IP,HSPA1A,KLF3,CAPN7,PUM2,ASPRV1,ALMS1,TMEM177,UGT2A1
CXCL1,OLFML2A,HSPA1B,KLHL5,EAF1-AS1,DNAJC27-AS1,ANKRD53,BOLA3-AS1,NIFK,STATH
EREG,SLC2A8,NOTCH4,LIMCH1,UBE2E2,KIF3C,PRADC1,SLC4A5,GYPC,BTC
PARM1,NCS1,HLA-DQB2,ATP10D,CMTM7,HADHA,DUSP11,RTKN,POLR2D,PRDM8
CXCL10,SURF4,COL11A2,NAAA,DYNC1LI1,HADHB,DGUOK,INO80B,MZT2B,PTPN13
HPSE,ADAMTSL2,ABCC10,SCARB2,TMPPE,OST4,WBP1,HTRA2,IMP4,HERC5
WDFY3,MAMDC4,CGAS,CCNG2,UBP1,PREB,LBX2,MRPL19,MGAT5,H2AFZ
WDFY3-AS2,CYSRT1,TMEM30A,PLAC8,CTDSPL,MPV17,M1AP,MAT2A,ZRANB3,CENPE
ARHGAP24,AKR1C1,SLC35A1,HERC3,ACAA1,GTF3C2,SEMA4F,PTCD3,DARS,GSTCD
GPRIN3,FAM107B,GABRR2,FAM13A-AS1,TRAK1,EIF2B4,SUCLG1,IMMT,RIF1,HADH
DDIT4L,MEIG1,OSTM1,LAMTOR3,HIGD1A,SNX17,TRABD2A,PLGLB1,GALNT5,ELOVL6
DKK2,BAMBI,FYN,SLC39A8,SNRK,NRBP1,PARTICL,CYTOR,PKP4,ZGRF1
SGMS2,JCAD,PKIB,NFKB1,FYCO1,CCDC121,VAMP8,RGPD2,LY75,MAD2L1
MCUB,FZD8,KIAA0408,MANBA,CCR3,MEMO1,USP39,FAHD2A,PSMD14,EXOSC9
LRIT3,RET,IFNGR1,UBE2D3,PTPN23,DPY30,MRPL35,SNRNP200,SCN2A,CCNA2
CAMK2D,FAM245B,TNFAIP3,SCLT1,QRICH1,SLC30A6,IGKC,CNNM3,STK39,NUDT6
ANXA5,ZNF488,HECA,ARFIP1,USP19,BIRC6,ZNF514,C2orf92,NOSTRIN,SPATA5
NOCT,ANXA8,UST,TMEM131L,KLHDC8B,STRN,PROM2,TSGA10,BBS5,HSPA4L
SETD7,JMJD1C-AS1,SNX9,CTSO,RBM6,NDUFAF7,KANSL3,MRPL30,KLHL23,PLK4
TBC1D9,SRGN,DYNLT1,CLCN3,PARP3,SOS1,LMAN2L,REV1,SSB,CLGN
TLR2,FAM241B,SYTL3,SAP30,ALAS1,SOS1-IT1,ACTR1B,LONRF2,METTL8,HHIP-AS1
GASK1B,LRRC20,C6orf99,FBXO8,TWF2,COX7A2L,ZAP70,MFSD9,ITGA6,HHIP
FAM198B-AS1,SYNPO2L,TAGAP,IRF2,SMIM4,OXER1,KIAA1211L,MRPS9,PDK1,DCLK2
ACSL1,COMTD1,SOD2,LRP2BP,STIMATE,ZFP36L2,LYG2,FHL2,OLA1,MND1
MIR3945HG,DLG5-AS1,QKI,CARD6,SELENOK,PPM1B,TXNDC9,NCK2,MTX2,GLRB
SNX25,CEP55,AFDN,FCHO2,TASOR,CAMKMT,AFF3,GCC2-AS1,HNRNPA3,C4orf46
TPPP,RBP4,SUN1,CERT1,ARF4,EPAS1,PDCL3,RANBP2,AGPS,NEIL3
ZDHHC11B,PDZD7,ZFAND2A,CMYA5,DENND6A,ACYP2,C2orf49,MTLN,TTC30A,CENPU
LPCAT1,CALHM3,LFNG,XRCC4,SLMAP,PPP4R3B,GCC2,RABL2A,CHROMR,FAT1
OTULINL,TACC2,IQCE,MAN2A1,ATXN7,VRK2,SH3RF3,DDX18,PRKRA,CEP72
MYO10,MKI67,ACTB,STARD4,SCAANT1,PAPOLG,MALL,PTPN4,PJVK,TRIP13
BASP1,C10orf91,RAC1,DCP2,PSMD6-AS2,KIAA1841,MIR4435-2HG,TSN,FKBP7,TERT
BASP1-AS1,PKP3,SCIN,FEM1C,PSMD6-AS1,USP34,CHCHD5,CYP27C1,CERKL,ROPN1L
SLC1A3,APBB1,ARL4A,TNFAIP8,RYBP,C1D,DBI,SFT2D3,NUP35,SPEF2
GHR,NRIP3,CHN2,SNX2,CHMP2B,ARHGAP25,TMEM185B,HS6ST1,FSIP2-AS1,SKP2
SNX18,NCR3LG1,OGDH,AFF4,CPOX,GFPT1,GLI2,FAM168B,WDR75,NUP155
RAB3C,NAV2,ASL,SAR1B,TBC1D23,SNRNP27,NIFK-AS1,TMEM163,OSGEPL1,LIFR
NAIP,LGR4,FKBP6,KDM3B,TMEM45A,PCBP1-AS1,BIN1,R3HDM1,PMS1,OXCT1
ENC1,BDNF,MLXIPL,SRA1,CBLB,C2orf42,MAP3K2-DT,ARHGAP15,NEMP2,OXCT1-AS1
HEXB,TSPAN18,POR,APBB3,GSK3B,MCEE,PROC,LYPD6B,CAVIN2,FBXO4
FAM151B,CHST1,PTPN12,TMCO6,FBXO40,ZNF638,IWS1,PRPF40A,C2orf69,CCDC152
ANKRD34B,CNTF,CD36,DIAPH1,SLC15A2,STAMBP,MYO7B,COBLL1,ALS2,C5orf34
VCAN,MS4A3,LMTK2,RELL2,KPNA1,DCTN1,LIMS2,TTC21B,FZD7,DEPDC1B
LUCAT1,LGALS12,TECPR1,FCHSD1,DTX3L,MOGS,WDR33,CERS6,ICA1L,CENPK
MCTP1,PLAAT3,MAP11,RNF14,PARP14,TTC31,MAP3K19,CERS6-AS1,EEF1B2,CCNB1
CAST,COX8A,GNB2,ARHGEF37,HACD2,DQX1,UBXN4,FASTKD1,FASTKD2,CENPH
SLCO4C1,FLRT1,MET,GALNT10,ZNF148,AUP1,LCT,PHOSPHO2,LANCL1,OCLN
REEP5,GAL,CAPZA2,HAVCR2,ABTB1,DOK1,GTDC1,METTL5,RPL37A,DHFR
TRIM36,P2RY2,LRRC4,ADAM19,RPN1,KCMF1,ORC4,GORASP2,VIL1,POLR3G
TICAM2,CAPN5,IMPDH1,KCNMB1,CNBP,GGCX,MMADHC,TLK1,USP37,NREP
PRR16,DDIAS,FAM71F2,ATP6V0E1,TMCC1,RNF181,RBM43,DCAF17,CNOT9,SNCAIP
SNX24,FUT4,IRF5,HIGD2A,CDV3,C2orf68,NMI,HAT1,BCS1L,ALDH7A1
FBN2,PIWIL4,PARP12,CDHR2,TF,KDM3A,CCDC148,ATP5MC3,OBSL1,LMNB1-DT
SLC22A4,ARHGAP42,SLC37A3,MXD3,PIK3CB,RNF103,PLA2R1,TTC30B,SERPINE2,3-Mar
SHROOM1,CADM1,ZYX,PRELID1,RASA2,RMND5A,DPP4,OSBPL6,ARMC9,MEGF10
TGFBI,USP2,ZNF467,RGS14,RASA2-IT1,PLGLB2,SCN3A,ITGA4,SNORC,SLC12A2
SPOCK1,USP2-AS1,GIMAP7,PDLIM7,RNF7,KRCC1,TTC21B-AS1,DUSP19,SH3BP4,KIF20A
CTNNA1,GRAMD1B,GIMAP1,DOK3,ATP1B3,ZNF2,SCN1A-AS1,ZNF804A,RAMP1,CDC25C
CYSTM1,NANOG,GIMAP5,RMND5B,XRN1,DUSP2,SCN9A,FSIP2,SCLY,EGR1
HBEGF,SLC2A14,WDR86,SQSTM1,HPS3,STARD7,XIRP2,ZC3H15,PER2,NRG2
CD14,CLEC2B,ASAH1,RNF130,TSC22D2,CIAO1,PPIG,TFPI,ING5,PCDHB14
ARAP3,TMEM52B,ATP6V1B2,HEIH,SERP1,ARID5A,CCDC173,SLC40A1,D2HGDH,PCDHGB3
PCDH12,PKP2,TNFRSF10C,BTNL8,MME,CNNM4,SCRN3,ASNSD1,SETMAR,GRPEL2
ARHGAP26,MUC19,ENTPD4,DUSP22,PHC3,COA5,RBM45,OSGEPL1-AS1,EGOT,SYNPO
ARHGAP26-IT1,AMIGO2,ADAMDEC1,SERPINB9,PIK3CA,MGAT4A,TTN-AS1,C2orf88,OXTR,PTTG1
ADRB2,PCED1B-AS1,DOCK5,NQO2,GNB4,C2orf15,TTN,HIBCH,SRGAP3,HMMR
GPX3,WNT10B,DPYSL2,LY86-AS1,ATP11B,LIPT1,CCDC141,NAB1,GHRL,SPDL1
GM2A,TROAP,PTK2B,SMIM13,KLHL6-AS1,MITD1,UBE2E3,GLS,RPL32,NEURL1B
SLC36A1,KRT86,EXTL3,PHACTR1,PARL,CNOT11,FAM171B,MYO1B,MRPS25,SFXN1
HRH2,ESPL1,RNF122,GFOD1,ABCC5,LIMS1,CALCRL,SLC39A10,ANKRD28,NOP16
GPRIN1,METTL7B,TACC1,JARID2-AS1,DVL3,ZC3H6,COL5A2,HECW2-AS1,SATB1,FAM153A
HK3,ITGA7,GPAT4,KIF13A,EIF4G1,RGPD8,ASDURF,GTF3C3,SATB1-AS1,HNRNPH1
TRIM7,ATP23,HOOK3,TPMT,DGKG,SLC35F5,ANKAR,FTCDNL1,TOP2B,FOXC1
IRF4,GRIP1,XKR4,KDM1B,PPP1R2,EPB41L5,STAT4,TYW5,SLC4A7,LYRM4
TUBB2A,MYF6,LYN,TRIM38,MUC20,CLASP1,NIF3L1,MAIP1,TRIM71,TXNDC5
F13A1,LIN7A,UBXN2B,HIST1H4A,TNK2,ERCC3,NDUFB3,PPIL3,SUSD5,EEF1E1
LY86,ALDH1L2,SDCBP,BTN2A1,PIGX,SAP130,SUMO1,ORC2,MLH1,HULC
TMEM170B,CUX2,PIP4P2,HCG14,PAK2,UGGT1,CARF,STRADB,ITGA9,GMNN
CD83,RNFT2,PDP1,HLA-F-AS1,IQCG,CCDC115,CD28,NBEAL1,RPSA,HIST1H1A
ATXN1,HPD,MIR378D2HG,HLA-A,PCGF3,CCNT2-AS1,ICOS,ABI2,RPL14,HIST1H3B
HFE,ATP8A2,CPQ,HLA-E,CRIPAK,CCNT2,DYTN,PARD3B,ZNF620,HIST1H2AB
GABBR1,WASF3,KLF10,PPP1R18,POLN,MBD5,RPE,MDH1B,ULK4,HIST1H3C
IER3,PCDH9,TRPS1,DDR1,TNIP2,EPC2,ERBB4,METTL21A,ZNF662,HIST1H4C
TNF,DACH1,SNTB1,HCG27,MSANTD1,ARL5A,IKZF2,CRYGD,ZNF660,HIST1H3F
C2,DZIP1,CASC11,HLA-C,TMEM128,ARL6IP6,MREG,C2orf80,ZNF502,HIST1H3G
HLA-DQA2,RNASE3,FAM49B,AIF1,LYAR,WDSUB1,SMARCAL1,IDH1-AS1,EXOSC7,HIST1H2AG
PPARD,RNASE2,EFR3A,LY6G5B,ZBTB49,7-Mar,TNS1,PIKFYVE,LARS2,HIST1H4I
ETV7,CEBPE,TMEM71,HSPA1L,TBC1D14,DYNC1I2,ZNF142,SPAG16,LZTFL1,HIST1H2AH
CDKN1A,NFATC4,TG,NEU1,WDR1,SLC25A12,ABCB6,SNHG31,SCAP,HIST1H2AI
CPNE5,CTSG,SLA,AGER,BOD1L1,ITGA6-AS1,STK16,XRCC5,ELP6,HIST1H2AJ
FGD2,CDKN3,NDRG1,GPSM3,C1QTNF7,CIR1,EPHA4,PLCD4,SMARCC1,HIST1H2BM
TREM1,DLGAP5,PTK2,TAP1,LAP3,ATF2,MRPL44,STK36,ATRIP,HIST1H2AL
FOXP4,SPTB,DENND3,HLA-DMB,ARAP2,LNPK,FAM124B,DNPEP,WDR6,HIST1H1B
TFEB,PLEKHH1,SLC45A4,B3GALT4,TLR10,PLEKHA3,GPR55,FBXO36,AMT,HIST1H3I
ZNF318,MAP3K9,ARC,LEMD2,COMMD8,CWC22,PSMD1,ITM2C,NAA80,HIST1H3J
VEGFA,PAPLN,GRINA,MAPK14,SLAIN2,DNAJC10,COPS7B,HTR2B,CACNA2D2,HIST1H2AM
TMEM63B,PROX2,MROH1,MAPK13,CHIC2,ITGAV,TIGD1,DIS3L2,MANF,HIST1H2BO
PLA2G7,ASB2,JAK2,STK38,TMEM165,INPP1,COPS8,CHRNG,DCAF1,ZSCAN23
ADGRB3,CYP46A1,IGHEP2,C6orf89,CLOCK,MFSD6,COL6A3,TRAF3IP1,RRP9,ZNF311
OGFRL1,ANKRD9,RIC1,ZFAND3,MOB1B,SF3B1,ILKAP,THAP4,PHF7,MDC1
CRYBG1,EXOC3L4,PLIN2,TREML4,CXCL3,MOB4,NDUFA10,TRNT1,GNL3,TUBB
MARCKS,ADSSL1,IFT74-AS1,CCND3,CXCL2,SPATS2L,MTERF4,BHLHE40-AS1,HESX1,VARS2
SMPDL3A,CEP170B,B4GALT1,CNPY3,ANTXR2,KCTD18,LRRN1,RPUSD3,APPL1,TCF19
VNN3,AHNAK2,FAM214B,GTPBP2,THAP9-AS1,BZW1,LMCD1-AS1,IL17RE,FHIT,MSH5
VNN2,SCG5,FAM166B,TRAM2,COQ2,CASP8,THUMPD3,IL17RC,EOGT,SAPCD1
SGK1,KNL1,GLIPR2,ICK,GPAT3,TRAK2,BRPF1,PRRT3-AS1,GPR27,VARS
FILNC1,TYRO3,CCIN,FBXO9,HSD17B13,CYP20A1,JAGN1,VGLL4,ARL6,ZBTB12
STX11,TGM5,KLF9,LMBRD1,FAM13A,INO80D,PRRT3,TAMM41,NIT2,KIFC1
SASH1,CCNB2,CEMIP2,SLC17A5,PPP3CA,NDUFS1,SEC13,CHCHD4,TOMM70,UQCC2
ZC3H12D,FAM81A,ZFAND5,CYB5R4,COL25A1,IDH1,MKRN2,LSM3,LNP1,HMGA1
ULBP1,DAPK2,PCA3,AKIRIN2,SEC24B,KANSL1L,FBLN2,OXNAD1,TRMT10C,FANCE
PPP1R14C,PIF1,C9orf64,UBE2J1,ALPK1,AAMP,FGD5,UBE2E1,RPL24,RAB44
CCDC170,SMAD6,AGTPBP1,PRDM1,C4orf3,PNKD,METTL6,RPL15,CEP97,PPIL1
IPCEF1,NOX5,TUT7,FIG4,KIAA1109,RNF25,COLQ,NGLY1,IFT57,CCDC167
IGF2R,LARP6,GADD45G,FRK,ANKRD50,NHEJ1,HACL1,OXSM,CD96,KCNK5
AIRN,NEO1,SYK,DCBLD1,C4orf33,RETREG2,RFTN1,CNOT10,GCSAM,DNPH1
FAM20C,CD276,NFIL3,NUS1,RAB33B,ZFAND2B,KCNH8,ITGA9-AS1,CFAP44,SLC29A1
ADAP1,CSPG4,NINJ1,CEP85L,MGST2,ANKZF1,ZNF385D,WDR48,SPICE1,MCM3
GPER1,ODF3L1,FAM120A,SERINC1,MAML3,STK11IP,NKIRAS1,SLC25A38,ZDHHC23,TMEM14A
TTYH3,TMEM266,MFSD14B,RNF146,LSM6,RHBDD1,THRB,NKTR,CCDC58,RAB23
GPNMB,DNAJA4,HABP4,ECHDC1,FBXW7,MFF,THRB-AS1,ZNF852,FAM162A,PRIM2
SNX10,UBE2Q2L,TBC1D2,STX7,RAPGEF2,SP140L,RARB,ZKSCAN7,PDIA5,KCNQ5
JAZF1,MESP2,NR4A3,SLC18B1,GALNTL6,PDE6D,CMC1,ZNF35,UMPS,KCNQ5-IT1
CREB5,CCNF,ABCA1,ALDH8A1,SCRG1,GIGYF2,STT3B,ZNF501,ALDH1L1,TTK
CPVL,GLIS2-AS1,UGCG,MAP3K5,SPCS3,INPP5D,OSBPL10,KIAA1143,TXNRD3,TENT5A
FKBP9,TVP23A,TNFSF8,HEBP2,WWC2,ATG16L1,GPD1L,LIMD1-AS1,CHCHD6,SRSF12
AOAH,USP31,TRAF1,NHSL1,TRAPPC11,USP40,CMTM8,MYL3,PODXL2,PM20D2
AMPH,GGA2,PTGS1,FUCA2,EXOC3,COPS9,FBXL2,DHX30,GATA2,BACH2
BLVRA,PLK1,MVB12B,FBXO30,SLC12A7,ANKMY1,CLASP2,CCDC51,ACAD9,MMS22L
UPP1,TLCD3B,SLC25A25,PCMT1,CLPTM1L,PPP1R7,TRANK1,IP6K2,TMCC1-AS1,COQ3
VOPP1,SHCBP1,IER5L,ZBTB2,TENT4A,HDLBP,VILL,P4HTM,TRH,LIN28B
TPST1,MYLK3,QRFP,ARMT1,OTULIN,STK25,EXOG,NDUFAF3,ATP2C1,BEND3
KCTD7,MT3,NUP214,TULP4,ANKH,NEU4,EIF1B-AS1,QARS,MRPL3,CENPW
STX1A,MT1E,RAPGEF1,EZR,RETREG1,CRBN,SS18L2,APEH,ACAD11,MYB
ABHD11,MT1F,SLC2A6,SOD2-OT1,GOLPH3,ITPR1-DT,ACKR2,AMIGO3,UBA5,AHI1
METTL27,MT1G,PPP1R26,SFT2D1,MTMR12,ITPR1,POMGNT2,INKA1,SRPRB,MTFR2
NCF1,MT1X,CAMSAP1,RNASET2,LMBRD2,THUMPD3-AS1,ZNF197,UBA7,RAB6B,AIG1
TMEM120A,BEAN1-AS1,CARD9,AFDN-DT,DAB2,SETD5,TMEM42,RASSF1,KY,RAET1E
FGL2,CHST6,UAP1L1,KDELR2,PTGER4,LHFPL4,CDCP1,HEMK1,PCCB,MTHFD1L
STEAP4,NUDT7,NDOR1,AHR,PARP8,OGG1,TMEM158,RAD54L2,SLC25A36,FBXO5
FZD1,C16orf74,KLF6,SNX13,ITGA1,CRELD1,CCR9,RPL29,SPSB4,RAMACL
PDK4,TUBB3,PFKFB3,FAM126A,SLC38A9,TMEM43,ALS2CL,RFT1,ATP1B3-AS1,PHF10
BRI3,SERPINF1,VIM-AS1,CCDC126,GAPT,XPC,TMIE,DCP1A,TFDP2,DNAAF5
PILRA,PIMREG,TMEM236,NFE2L3,PDE4D,CCDC174,NME6,CCDC66,PLS1,MICALL2
PCOLCE,ALOX12,PLXDC2,GARS-DT,TRAPPC13,NR2C2,NCKIPSD,DNAH12,HLTF,SLC29A4
MOSPD3,MIR497HG,MPP7-DT,AVL9,CD180,BTD,ARIH2OS,THOC7,IGSF10,RPA3
SLC12A9,B9D1,MAP3K8,KBTBD2,HMGCR,TBC1D5,DALRD3,SLC25A26,SUCNR1,CDCA7L
MUC12,ALDH3A1,ZNF438,DPY19L1,POLK,NR1D2,CCDC71,FOXP1,ARHGEF26,SNHG26
SH2B2,CCDC144NL-AS1,NRP1,GPR141,AP3B1,EPM2AIP1,NICN1,FOXP1-IT1,C3orf33,HOXA3
NAMPT,CCL23,CSGALNACT2,NME8,DMGDH,LRRFIP2,GMPPB,SHQ1,KCNAB1,HOXA4
PRKAR2B,ARL5C,ZNF487,DBNL,TENT2,GOLGA4,MON1A,ZNF717,LEKR1,HOXA5
DOCK4,CACNB1,ALOX5,YKT6,POU5F2,C3orf35,RBM5-AS1,ROBO2,IL12A-AS1,HOXA9
GPR85,TOP2A,NCOA4,MYO1G,LNPEP,EIF1B,SEMA3F-AS1,GBE1,C3orf80,HOXA11-AS
HIPK2,IGFBP4,SGMS1,TNS3,FAM174A,ENTPD3-AS1,NPRL2,HTR1F,IFT80,FKBP14
KDM7A,PLEKHH3,IPMK,LIMK1,PJA2,ZNF619,CYB561D2-1,ALCAM,SMC4,GGCT
KDM7A-DT,CCR10,HK1,RHBDD2,APC,ZNF621,C3orf18,DUBR,TRIM59,MINDY4
MGAM,CNTNAP1,AIFM2,SSC4D,MCC,SEC22C,CISH,BBX,B3GALNT1,AQP1
CLEC5A,MPP3,EIF4EBP2,DTX2,YTHDC2,CCDC13,MAPKAPK3,CD47,TERC,LSM5
FAM131B,MPP2,UNC5B,GSAP,PGGT1B,SNRK-AS1,DOCK3,DZIP3,LRRC34,KIAA0895
TPK1,MEIOC,VSIR,SEMA3C,CCDC112,ANO10,RBM15B,TRAT1,RPL22L1,TRGC2
ATP6V0E2-AS1,C1QL1,MCU,TMEM243,ATG12,TCAIM,TEX264,PLCXD2,PLD1,POLD2
GIMAP8,COL1A1,SAMD8,SLC25A40,AP3S1,ZNF445,ABHD14B,PHLDB2,NAALADL2,CAMK2B
GIMAP4,LPO,SFTPD,CYP51A1-AS1,COMMD10,LIMD1,TLR9,ABHD10,KCNMB3,PPIA
TMEM176B,PRR11,ADIRF-AS1,ARPC1B,DMXL1,SACM1L,GLT8D1,CD200,ZNF639,H2AFV
TMEM176A,C17orf58,FAS,LAMTOR4,HSD17B4,CCDC12,SPCS1,GTPBP8,ACTL6A,ADCY1
AGAP3,SLC39A11,CPEB3,SAP25,CEP120,SETD2,CACNA1D,SIDT1,MRPL47,ABCA13
SMARCD3,BIRC5,CC2D2B,LRCH4,FNIP1,KIF9-AS1,CHDH,NAA50,MCCC1,FIGNL1
WDR86-AS1,SLC25A10,PIK3AP1,GIGYF1,PDLIM4,MAP4,IL17RB,LRRC58,B3GNT5,PSPH
CTSB,PPP1R27,ARHGAP19,EPHB4,IRF1,ZNF589,ACTR8,RABL3,YEATS2-AS1,CALN1
MSR1,P4HB,FRAT2,PLOD3,C5orf15,TMA7,ARF4-AS1,IQCB1,ALG3,NSUN5
GFRA2,NPB,MFSD13A,UPK3BL2,PPP2CA,PRKAR2A-AS1,PDHB,MYLK-AS1,POLR2H,RFC2
DOK2,NOTUM,TRIM8,KMT2E-AS1,UBE2B,ARIH2,PSMD6,MGLL,IGF2BP2,GTF2IRD1
TNFRSF10D,AQP4-AS1,AS3MT,PIK3CG,TXNDC15,TCTA,LRIG1,EEFSEC,IGF2BP2-AS1,HGF
SLC25A37,PCAT18,CALHM2,PNPLA8,FAM53C,RNF123,GXYLT2,GATA2-AS1,TMEM44,KIAA1324L
PNOC,SLC14A2,CFAP58-DT,DNAJB9,IGIP,IP6K1,ARL13B,HMCES,LSG1,DBF4
GSR,SKA1,TCF7L2,IFRD1,ANKHD1,RBM5,TFG,ALG1L2,TFRC,CFAP69
ZNF703,SERPINB2,GRK5,LSMEM1,NDUFA2,HYAL2,ABI3BP,NEK11,TCTEX1D2,CDK14
RAB11FIP1,SERPINB10,VENTX,MDFIC,WDR55,TUSC2,DPPA4,SLCO2A1,LMLN,NPTX2
ADAM9,HMSD,ADAM8,TFEC,DELE1,RASSF1-AS1,BTLA,SLC35G2,ZNF718,MCM7
ANK1,AZU1,RNH1,CPED1,NDFIP1,CYB561D2,SIDT1-AS1,NCK1-DT,PDE6B,SLC12A9-AS1
CEBPD,PRTN3,MIR210HG,IQUB,NR3C1,TMEM115,GRAMD1C,DBR1,MYL5,TRIP6
FAM110B,ELANE,CD151,ARF5,FBXO38,WDR82,CCDC191,CEP70,SPON2,IFT22
CHD7,MEX3D,TOLLIP,FSCN3,CD74,GLYCTK,ZBTB20,FAIM,CTBP1-DT,LRRC17
DNAJC5B,ATP8B3,TNNI2,ATP6V1F,TNIP1,BAP1,ZBTB20-AS1,ATR,FAM53A,PUS7
RDH10,TLE6,SLC22A18,UBE2H,ANXA6,PBRM1,ZBTB20-AS2,TRPC1,SLBP,CAV2
LY96,UHRF1,FAM160A2,WDR91,SAP30L,PDE12,ZBTB20-AS4,U2SURP,LETM1,CAV1
SDC2,SLC25A23,SMPD1,MTPN,FAXDC2,DNASE1L3,CD80,PLOD2,NOP14,ST7-AS1
EXT1,CD70,TRIM3,TBXAS1,CNOT8,RPP14,NDUFB4,PLSCR4,CYTL1,ST7
MTSS1,RETN,TPP1,MKRN1,RNF145,HTD2,GOLGB1,TM4SF1,STK32B,ST7-OT4
TRIB1,CLEC4G,MRVI1,TCAF2,DOCK2,PXK,WDR5B,TM4SF1-AS1,HS3ST1,ANKRD7
ASAP1,LRP3,UEVLD,SSPO,LCP2,KBTBD8,PARP15,PFN2,PROM1,PRRT4
