cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10
PTGFRN,MAB21L3,NBPF10,RAP1A,ERMAP,MED18,COL16A1,C1orf109,ERI3,USP1
CD101,IGSF3,NBPF12,CAPZA1,MED8,TRNAU1AP,TMEM39B,MACF1,RPS8,ITGB3BP
SPAG17,FAM72B,NBPF14,RHOC,HYI-AS1,GMEB1,LCK,PPIE,EIF2B3,RAVER2
FCGR1B,FAM72C,NBPF9,CD58,HECTD3,PUM1,HDAC1,TRIT1,HPDL,DEPDC1
SRGAP2C,FAM72D,NOTCH2NLC,GDAP2,IPP,PEF1,KIAA1522,ZFP69B,MUTYH,AK5
HIST2H3PS2,ANKRD35,NBPF19,NBPF20,MAST2,KPNA6,AZIN2,ZMYND12,TOE1,SSX2IP
NBPF15,TUFT1,ADAMTSL4,NOTCH2NLA,MOB3C,TMEM234,ZSCAN20,YBX1,MMACHC,DDAH1
SRGAP2B,S100A16,ADAMTSL4-AS1,NUDT4B,RNF11,MARCKSL1,PSMB2,P3H1,KTI12,CCN1
FCGR1A,S100A13,SNX27,ARNT,TXNDC12,TSSK3,C1orf216,RNF220,TUT4,CDC7
MTMR11,S100A1,OAZ3,C1orf56,SCP2,FAM229A,ADPRHL2,TMEM53,COA7,GFI1
C1orf54,DCST1-AS1,RORC,CDC42SE1,YIPF1,BSDC1,INPP5B,POMGNT1,HSPB11,SASS6
CIART,MUC1,S100A5,GABPB2,JAK1,ZNF362,MYCBP,LRRC41,ACOT11,AMIGO1
MCL1,C1orf61,SLC27A3,CRTC2,LEPROT,SMIM12,GJA9,UQCRH,MROH7,GSTM3
HORMAD1,MEF2D,DENND4B,IL6R,IFI44L,TMEM35B,HEYL,NSUN4,DOCK7,PIFO
CTSS,IQGAP3,SHC1,UBE2Q1,SPATA1,AGO3,ZFP69,ATPAF1,EFCAB7,SLC16A1
CTSK,LY9,GBA,DCST2,CLCA4-AS1,TRAPPC3,ZNF684,CYP4A22-AS1,DLEU2L,TRIM45
ZNF687-AS1,ADAMTS4,GLMP,ADAM15,SH3GLB1,MEAF6,ZNF691,TAL1,CACHD1,TENT5C
S100A10,TNR,CD1A,MTX1,GBP3,SNIP1,SLC2A1-AS1,BEND5,DNAJC6,PHGDH
S100A11,SEC16B,CD1C,RIT1,DIPK1A,FHL3,KDM4A,FAF1,TCTEX1D1,OTUD7B
S100A9,CLEC20A,CD1B,SLC25A44,DR1,AKIRIN1,IPO13,OSBPL9,SERBP1,ANP32E
S100A12,KIAA1614,CD48,COPA,FRRS1,PABPC4,CCDC24,RAB3B,CTH,ECM1
S100A8,COLGALT2,USF1,NCSTN,MFSD14A,FOXJ3,DMAP1,ECHDC2,ZRANB2-AS1,CKS1B
S100A6,KIF14,FCRLB,NHLH1,LRRC39,CCDC30,ARMH1,MAGOH,LRRIQ3,MSTO1
S100A4,ETNK2,KIAA0040,ARHGAP30,SLC30A7,C1orf50,BEST4,LRRC42,TYW3,MRPL24
ZBTB7B,SLC41A1,IER5,DEDD,STXBP3,SVBP,UROD,TTC4,PIGK,KIRREL1
